meso_num	plant_id	plant_sp	height_i_cm	height_f_cm	dead_all	above_biomass_g	belowBEF_biomass_g
61	sp7	GMI	1	1.2	NA	0.0005	NA
61	sp8	GSH	1.3	1.5	NA	0.003	NA
62	sp1	KLA	0.7	1	NA	0.0018	NA
62	sp2	GSH	3.7	4.1	NA	0.0099	NA
62	sp3	KLA	0.9	1.2	NA	0.0029	NA
62	sp4	GSH	3.1	3.7	NA	0.007	NA
62	sp5	KLA	0.9	1.7	NA	0.0021	NA
62	sp6	GSH	3.2	4.5	NA	0.0066	NA
62	sp7	KLA	0.8	1.9	NA	0.0024	NA
62	sp8	GSH	1.9	1.7	NA	0.003	NA
63	sp1	VCO	3	2.9	NA	0.0091	NA
63	sp2	VMA	2.4	3	NA	0.0043	NA
63	sp3	VCO	4.3	5.1	NA	0.0123	NA
63	sp4	VMA	2.7	2.2	NA	0.0018	NA
63	sp5	VCO	3.6	3.2	NA	0.0078	NA
63	sp6	VMA	1.3	1.3	NA	0.0015	NA
63	sp7	VCO	3.1	4	NA	0.0051	NA
63	sp8	VMA	2.7	3	NA	0.0043	NA
64	sp1	VVI	1.1	1.2	NA	0.0023	NA
64	sp2	VMA	3.4	3.7	NA	0.0084	NA
64	sp3	PJA	3	4.4	NA	0.041	NA
64	sp4	GSH	0.7	1.1	NA	0.0042	NA
64	sp5	VVI	1.5	2	NA	0.0024	NA
64	sp6	VMA	3.5	4.7	NA	0.0082	NA
64	sp7	PJA	0.6	0.7	NA	0.001	NA
64	sp8	GSH	1.6	2	NA	0.0053	NA
65	sp1	CVU	0.7	1.3	NA	0.0005	0.0183
65	sp2	VCO	1.9	3	dead	0.0029	NA
65	sp3	VVI	1	1.7	NA	0.0008	NA
65	sp4	VMA	2.9	3.9	NA	0.0075	NA
65	sp5	CVU	0.5	0.5	NA	not_detected	NA
65	sp6	VCO	2.7	3.8	NA	0.0048	NA
65	sp7	VVI	1.4	2.3	NA	0.0034	NA
65	sp8	VMA	3.2	4.5	NA	0.0057	NA
66	sp1	VAN	3.7	4.1	no_leaves	0.0105	NA
66	sp2	VMY	1.4	1.6	NA	0.0017	NA
66	sp3	KLA	1.3	1.7	NA	0.0068	NA
66	sp4	GMI	0.4	0.6	NA	not_detected	NA
66	sp5	VAN	0.4	NA	no_plant	NA	NA
66	sp6	VMY	1.1	1.8	NA	0.0021	NA
66	sp7	KLA	0.5	0.8	NA	0.0011	NA
66	sp8	GMI	0.3	0.4	NA	0.0004	NA
67	sp1	VAN	1.1	1.1	NA	0.0008	NA
67	sp2	CVU	0.2	0.5	NA	not_detected	NA
67	sp3	VMA	2.9	3.1	NA	0.0055	NA
67	sp4	GSH	1.8	2.1	NA	0.003	NA
67	sp5	VAN	0.6	1	NA	0.0007	NA
67	sp6	CVU	0.6	0.6	NA	not_detected	NA
67	sp7	VMA	5.2	5.9	NA	0.0096	NA
67	sp8	GSH	1.4	1.6	NA	0.0023	NA
68	sp1	VMY	1	1.4	NA	0.0013	0.0608
68	sp2	VCO	2.3	2.1	NA	0.0014	NA
68	sp3	PJA	1.2	1.3	NA	0.0036	NA
68	sp4	GSH	1.2	1.5	NA	0.0008	NA
68	sp5	VMY	0.8	1.2	NA	0.0005	NA
68	sp6	VCO	2.3	2.3	NA	0.0033	NA
68	sp7	PJA	5	5.4	NA	0.0658	NA
68	sp8	GSH	0.5	0.8	NA	0.0007	NA
69	sp1	VAN	0.7	1	NA	0.0005	NA
69	sp2	VMY	1	1	NA	0.0017	NA
69	sp3	VCO	3.2	3.3	NA	0.0063	NA
69	sp4	VMA	2	2	NA	0.003	NA
69	sp5	VAN	4.1	4.1	no_leaves	0.0158	NA
69	sp6	VMY	1.7	2.2	NA	0.0023	NA
69	sp7	VCO	2.8	2.8	NA	0.0071	NA
69	sp8	VMA	3.1	3.1	NA	0.0041	NA
70	sp1	GPR	1.6	2	NA	0.0057	NA
70	sp2	CVU	0.3	0.5	NA	not_detected	NA
70	sp3	VVI	0.5	0.6	NA	0.0004	NA
70	sp4	GMI	0.5	1	NA	not_detected	NA
70	sp5	GPR	0.7	0.8	NA	0.0015	NA
70	sp6	CVU	0.2	0.5	NA	not_detected	NA
70	sp7	VVI	1.8	2.6	NA	0.0045	NA
70	sp8	GMI	0.9	1	NA	not_detected	NA
71	sp1	VCO	3.4	3.8	NA	0.0047	0.0336
71	sp2	VMA	4.8	5.1	NA	0.0102	NA
71	sp3	GMI	1.3	1.4	NA	not_detected	NA
71	sp4	GSH	1.3	1.1	NA	not_detected	NA
71	sp5	VCO	1.5	1.8	NA	0.002	NA
71	sp6	VMA	4.4	4.8	NA	0.0121	NA
71	sp7	GMI	0.7	0.7	dead	0.0005	NA
71	sp8	GSH	0.9	1.8	NA	0.0055	NA
72	sp1	VVI	2.2	2.4	NA	0.0019	NA
72	sp2	VMA	1.8	2	NA	0.0022	NA
72	sp3	PJA	4	4.7	NA	0.036	NA
72	sp4	GMI	0.4	0.6	NA	0.0017	NA
72	sp5	VVI	3.1	2.9	NA	0.0025	NA
72	sp6	VMA	2.7	2.6	NA	0.0021	NA
72	sp7	PJA	5.1	5.1	NA	0.0839	NA
72	sp8	GMI	0.2	0.3	NA	not_detected	NA
73	sp1	GPR	1.5	1.9	NA	0.0038	0.0175
73	sp2	VVI	2	3.3	NA	0.003	NA
73	sp3	KLA	0.9	0.7	NA	0.0005	NA
73	sp4	GSH	2.8	2.9	NA	0.0046	NA
73	sp5	GPR	1.2	1.4	NA	0.0015	NA
73	sp6	VVI	1.4	1.9	NA	0.0008	NA
73	sp7	KLA	0.6	0.9	NA	0.0022	NA
73	sp8	GSH	3.5	4.6	NA	0.0111	NA
74	sp1	VMY	1.8	1.8	NA	0.0026	NA
74	sp2	VCO	2.9	3	NA	0.0069	NA
74	sp3	GMI	0.6	0.8	NA	not_detected	NA
74	sp4	GSH	3.4	3.4	NA	0.0147	NA
74	sp5	VMY	0.8	1.4	NA	0.0017	NA
74	sp6	VCO	3.8	3.6	no_leaves	0.0059	NA
74	sp7	GMI	0.6	0.6	NA	not_detected	NA
74	sp8	GSH	1.1	2.1	NA	0.0017	NA
75	sp1	VAN	1.9	2.1	NA	0.0016	0.0054
75	sp2	VMY	0.4	0.9	NA	0.001	NA
75	sp3	VCO	1	1.1	dead	0.0008	NA
75	sp4	GMI	0.2	0.3	NA	not_detected	NA
75	sp5	VAN	1.1	1.4	NA	0.0006	NA
75	sp6	VMY	0.8	1.1	NA	not_detected	NA
75	sp7	VCO	1.9	2.1	NA	0.0017	NA
75	sp8	GMI	0.6	0.7	NA	not_detected	NA
76	sp1	VCO	2.4	3.5	NA	0.0048	NA
76	sp2	KLA	1.1	2.1	NA	0.0084	NA
76	sp3	GMI	0.3	NA	no_plant	NA	NA
76	sp4	GSH	3.1	3.4	NA	0.0022	NA
76	sp5	VCO	2	2.1	NA	0.0018	NA
76	sp6	KLA	0.4	0.7	NA	0.0017	NA
76	sp7	GMI	0.1	0.5	NA	not_detected	NA
76	sp8	GSH	0.6	0.7	NA	0.0005	NA
77	sp1	VAN	1.4	1.5	NA	0.001	NA
77	sp2	VMY	1	2	NA	0.0017	NA
77	sp3	GMI	0.4	0.6	NA	not_detected	NA
77	sp4	GSH	0.5	0.6	NA	not_detected	NA
77	sp5	VAN	1.8	2.4	NA	0.0011	NA
77	sp6	VMY	1.8	1.8	NA	0.0023	NA
77	sp7	GMI	0.2	0.5	NA	not_detected	NA
77	sp8	GSH	0.3	NA	no_plant	NA	NA
78	sp1	VMY	1.2	1.2	NA	0.0034	NA
78	sp2	VVI	1.2	1.7	NA	0.0036	NA
78	sp3	VMA	3.5	3.8	NA	0.0064	NA
78	sp4	KLA	0.5	1.2	NA	0.0013	NA
78	sp5	VMY	2.2	2.2	NA	0.0043	NA
78	sp6	VVI	2.1	2.6	NA	0.0041	NA
78	sp7	VMA	4.4	4.6	NA	0.0092	NA
78	sp8	KLA	0.5	0.9	NA	0.0007	NA
79	sp1	CVU	0.5	1.2	NA	0.0005	NA
79	sp2	VCO	2.2	2.8	NA	0.0076	NA
79	sp3	VVI	1.7	2.1	NA	0.0037	NA
79	sp4	GSH	3	3.1	NA	0.0237	NA
79	sp5	CVU	1.5	1.1	NA	not_detected	NA
79	sp6	VCO	0.7	0.9	NA	0.0008	NA
79	sp7	VVI	1.4	3.2	NA	0.0032	NA
79	sp8	GSH	1.7	2.2	NA	0.002	NA
80	sp1	GPR	1.5	2	NA	0.0027	NA
80	sp2	CVU	0.6	0.8	NA	0.0038	NA
80	sp3	VVI	1	1.8	NA	0.0013	NA
80	sp4	GSH	0.8	1.5	NA	0.001	NA
80	sp5	GPR	0.9	2.1	NA	0.0034	NA
80	sp6	CVU	2.7	3.1	NA	0.0032	NA
80	sp7	VVI	1.6	2.8	NA	0.003	NA
80	sp8	GSH	0.7	1.5	NA	0.0017	NA
81	sp1	CVU	0.7	1.4	NA	0.002	0.0269
81	sp2	VCO	1.5	1.6	NA	0.0013	NA
81	sp3	VVI	1.5	2.4	NA	0.0044	NA
81	sp4	KLA	1.2	1.5	NA	0.0145	NA
81	sp5	CVU	1.2	1.6	NA	0.0062	NA
81	sp6	VCO	4.2	3.8	NA	0.0084	NA
81	sp7	VVI	0.8	1.1	NA	0.0009	NA
81	sp8	KLA	1.5	1.4	NA	0.0033	NA
82	sp1	VCO	3.4	3.1	no_leaves	not_detected	0.0768
82	sp2	VMA	3.3	4	NA	0.0087	NA
82	sp3	PJA	3	4.2	NA	0.0398	NA
82	sp4	GSH	0.6	0.9	NA	0.0013	NA
82	sp5	VCO	1.9	2.5	NA	0.0024	NA
82	sp6	VMA	4	4.6	NA	0.0087	NA
82	sp7	PJA	0.7	2.3	NA	0.0054	NA
82	sp8	GSH	1	3.1	NA	0.0039	NA
83	sp1	VCO	1.5	2	NA	0.0026	NA
83	sp2	VMA	3.8	4.3	NA	0.0065	NA
83	sp3	KLA	1	1.1	NA	0.0004	NA
83	sp4	GMI	0.1	NA	no_plant	NA	NA
83	sp5	VCO	3.5	4.5	sick	0.0068	NA
83	sp6	VMA	3.3	4.1	NA	0.007	NA
83	sp7	KLA	0.6	0.6	NA	not_detected	NA
83	sp8	GMI	0.7	0.8	NA	not_detected	NA
84	sp1	CVU	0.3	0.4	NA	not_detected	0.0315
84	sp2	VVI	1.7	1.7	NA	0.003	NA
84	sp3	VMA	3.9	4.7	NA	0.0046	NA
84	sp4	GMI	0.7	1.6	NA	0.0004	NA
84	sp5	CVU	0.8	0.8	NA	0.0013	NA
84	sp6	VVI	2.6	3.9	NA	0.0016	NA
84	sp7	VMA	4.6	4.6	NA	0.01	NA
84	sp8	GMI	0.6	0.8	NA	not_detected	NA
85	sp1	CVU	2	3	NA	0.0039	NA
85	sp2	VVI	1.7	3.3	NA	0.0044	NA
85	sp3	VMA	4.5	5.2	NA	0.0111	NA
85	sp4	GSH	5	5.5	NA	0.0137	NA
85	sp5	CVU	0.5	0.6	NA	not_detected	NA
85	sp6	VVI	1.5	2	NA	0.0022	NA
85	sp7	VMA	3.6	4.4	NA	0.0094	NA
85	sp8	GSH	1.1	1.6	NA	0.004	NA
86	sp1	VCO	4	4.2	NA	0.0125	NA
86	sp2	VVI	1.6	1.6	NA	0.0023	NA
86	sp3	KLA	0.4	0.5	NA	0.001	NA
86	sp4	GSH	2.7	3	NA	0.0085	NA
86	sp5	VCO	2.5	3	NA	0.0042	NA
86	sp6	VVI	1.7	2.7	NA	0.0007	NA
86	sp7	KLA	0.5	0.6	NA	0.0006	NA
86	sp8	GSH	0.6	0.7	NA	NA	NA
87	sp1	VMY	2.2	2.2	NA	0.0029	0.0538
87	sp2	VVI	1.5	2.3	NA	0.0013	NA
87	sp3	PJA	3.9	4.1	NA	0.0354	NA
87	sp4	GSH	2.7	3	NA	0.0042	NA
87	sp5	VMY	0.7	0.9	NA	0.0012	NA
87	sp6	VVI	2.7	3.4	NA	0.0024	NA
87	sp7	PJA	2.8	3	NA	0.0167	NA
87	sp8	GSH	1.4	1.4	NA	0.0011	NA
88	sp1	VMA	3.2	3.5	NA	0.0064	NA
88	sp2	KLA	0.5	0.7	NA	0.0006	NA
88	sp3	GMI	0.9	1	NA	0.0009	NA
88	sp4	GSH	1.3	1.3	NA	0.0026	NA
88	sp5	VMA	4.7	4.8	NA	0.0068	NA
88	sp6	KLA	0.5	0.9	NA	0.0007	NA
88	sp7	GMI	0.4	0.5	NA	0.0005	NA
88	sp8	GSH	0.7	0.9	NA	0.0009	NA
89	sp1	VVI	1.6	2.5	NA	0.0024	0.0057
89	sp2	KLA	0.2	0.3	NA	not_detected	NA
89	sp3	GMI	0.7	0.8	NA	0.001	NA
89	sp4	GSH	2.7	2.8	NA	0.002	NA
89	sp5	VVI	0.5	1	NA	0.0009	NA
89	sp6	KLA	0.4	0.5	NA	not_detected	NA
89	sp7	GMI	0.3	0.7	NA	not_detected	NA
89	sp8	GSH	1.8	2.2	NA	0.0027	NA
90	sp1	CVU	0.6	0.8	NA	0.0005	NA
90	sp2	VCO	1.9	2.4	NA	0.0028	NA
90	sp3	VMA	4.4	5	NA	0.0091	NA
90	sp4	GMI	0.4	0.4	NA	not_detected	NA
90	sp5	CVU	0.4	0.5	NA	not_detected	NA
90	sp6	VCO	2.2	2.6	NA	0.0045	NA
90	sp7	VMA	2.9	4.5	NA	0.0076	NA
90	sp8	GMI	0.2	0.5	NA	not_detected	NA
91	sp1	CVU	2.4	2.6	NA	0.0018	NA
91	sp2	VCO	1.7	1.7	NA	0.0039	NA
91	sp3	VVI	1.8	2	NA	0.0023	NA
91	sp4	GMI	0.5	0.6	NA	not_detected	NA
91	sp5	CVU	1.7	2	NA	0.0084	NA
91	sp6	VCO	2.2	2.4	dead	0.0024	NA
91	sp7	VVI	1.3	2	NA	0.0019	NA
91	sp8	GMI	0.6	0.6	NA	not_detected	NA
92	sp1	GPR	0.5	1.2	NA	0.0033	NA
92	sp2	VMA	4.9	6	NA	0.0235	NA
92	sp3	KLA	0.3	0.7	NA	0.0012	NA
92	sp4	GMI	0.6	0.6	NA	0.0055	NA
92	sp5	GPR	1.3	2.6	NA	0.0066	NA
92	sp6	VMA	2.8	3.8	NA	0.0059	NA
92	sp7	KLA	0.2	0.8	NA	0.0008	NA
92	sp8	GMI	0.4	1.4	NA	0.003	NA
93	sp1	VVI	1.6	2	NA	0.0029	NA
93	sp2	VMA	4.5	4.9	NA	0.0102	NA
93	sp3	GMI	0.7	1.1	NA	0.0006	NA
93	sp4	GSH	2.2	2.5	NA	0.0065	NA
93	sp5	VVI	1.6	2	NA	0.0027	NA
93	sp6	VMA	3.7	4.3	NA	0.0089	NA
93	sp7	GMI	0.8	1.4	NA	0.0012	NA
93	sp8	GSH	1.2	2.2	NA	0.0046	NA
94	sp1	GPR	1.1	2.3	NA	0.002	0.1016
94	sp2	CVU	0.6	0.6	NA	not_detected	NA
94	sp3	VCO	2.9	3.1	NA	0.0028	NA
94	sp4	VVI	1.3	1.5	NA	0.0016	NA
94	sp5	VMA	4.2	5.2	NA	0.0111	NA
94	sp6	PJA	4.8	5.8	NA	0.0765	NA
94	sp7	GMI	0.8	1.1	NA	0.0006	NA
94	sp8	GSH	2.1	2.7	NA	0.0127	NA
95	sp1	VAN	3.4	3.8	NA	0.0132	NA
95	sp2	CVU	0.9	1.2	NA	0.0026	NA
95	sp3	VCO	1.1	1.2	dead	0.0007	NA
95	sp4	VVI	0.8	0.9	NA	0.0007	NA
95	sp5	VMA	3.6	4.9	NA	0.0094	NA
95	sp6	PJA	3.4	4.3	NA	0.0264	NA
95	sp7	GMI	0.6	0.9	NA	not_detected	NA
95	sp8	GSH	3	3.2	NA	0.0036	NA
96	sp1	GPR	1	0.9	NA	0.0019	NA
96	sp2	CVU	0.7	0.6	NA	0.0008	NA
96	sp3	VCO	3.1	3.4	NA	0.0078	NA
96	sp4	VVI	2	2.2	NA	0.0021	NA
96	sp5	VMA	3.2	4	NA	0.0066	NA
96	sp6	KLA	0.7	0.8	NA	0.0026	NA
96	sp7	GMI	0.6	1	NA	0.0008	NA
96	sp8	GSH	2.2	2.8	NA	0.0067	NA
97	sp1	VAN	2	2.1	NA	0.0022	0.1243
97	sp2	VMY	1.1	1.4	NA	0.0016	NA
97	sp3	VCO	3.2	3.4	NA	0.0036	NA
97	sp4	VVI	1.1	1.4	NA	0.0018	NA
97	sp5	VMA	3.1	3.4	NA	0.006	NA
97	sp6	PJA	4.5	4.3	NA	0.1167	NA
97	sp7	GMI	0.2	0.3	NA	not_detected	NA
97	sp8	GSH	0.8	1.1	NA	0.0039	NA
98	sp1	VAN	2	2.6	sick	0.0062	NA
98	sp2	CVU	2.2	2.3	NA	0.0018	NA
98	sp3	VCO	2.5	2.8	NA	0.0045	NA
98	sp4	VVI	1.5	1.6	NA	0.0017	NA
98	sp5	VMA	2.5	3.7	NA	0.0054	NA
98	sp6	KLA	0.7	1.1	NA	0.0021	NA
98	sp7	GMI	0.2	0.3	NA	not_detected	NA
98	sp8	GSH	0.7	1.2	NA	0.001	NA
99	sp1	GPR	0.7	1	NA	0.001	NA
99	sp2	CVU	1	1.2	NA	0.001	NA
99	sp3	VCO	4.2	4	dead	0.0062	NA
99	sp4	VVI	1	2.2	NA	0.002	NA
99	sp5	VMA	3.7	4.8	NA	0.01	NA
99	sp6	KLA	0.5	0.5	NA	0.0004	NA
99	sp7	GMI	0.5	0.6	NA	not_detected	NA
99	sp8	GSH	0.9	0.9	NA	0.001	NA
100	sp1	GPR	1.2	2.2	NA	0.0037	0.028
100	sp2	CVU	0.4	0.8	NA	not_detected	NA
100	sp3	VCO	1.3	1.4	NA	0.0015	NA
100	sp4	VVI	1	1.9	NA	0.0013	NA
100	sp5	VMA	2.4	3.5	NA	0.007	NA
100	sp6	PJA	2.5	3	NA	0.0117	NA
100	sp7	GMI	0.5	1.3	NA	0.0013	NA
100	sp8	GSH	2.5	2.5	sick	0.0022	NA
101	sp1	VAN	0.6	NA	no_plant	NA	0.014
101	sp2	CVU	1.2	1.6	NA	0.0027	NA
101	sp3	VCO	1.2	1.3	NA	0.001	NA
101	sp4	VVI	2	2.4	NA	0.0026	NA
101	sp5	VMA	2.8	3.2	NA	0.007	NA
101	sp6	KLA	0.4	0.4	NA	not_detected	NA
101	sp7	GMI	0.3	0.4	NA	not_detected	NA
101	sp8	GSH	3.8	4.1	NA	0.0143	NA
102	sp1	VAN	1.6	1.9	NA	0.0013	NA
102	sp2	VMY	1.1	1.1	NA	0.0009	NA
102	sp3	VCO	1.4	1.5	NA	0.0009	NA
102	sp4	VVI	1.6	2	NA	0.0021	NA
102	sp5	VMA	3.2	3.6	NA	0.0087	NA
102	sp6	KLA	0.5	0.6	NA	not_detected	NA
102	sp7	GMI	0.8	0.8	NA	0.0004	NA
102	sp8	GSH	1.5	1.6	sick	0.0008	NA
103	sp1	VAN	1.6	1.8	sick	0.0007	NA
103	sp2	CVU	2.2	2.7	NA	0.004	NA
103	sp3	VCO	3.3	3.2	NA	0.0044	NA
103	sp4	VVI	0.7	0.7	NA	0.0013	NA
103	sp5	VMA	5.5	5.6	NA	0.0102	NA
103	sp6	KLA	0.5	0.6	NA	not_detected	NA
103	sp7	GMI	0.5	0.7	NA	0.0008	NA
103	sp8	GSH	3.5	3.7	NA	0.0115	NA
104	sp1	VAN	2.7	2.5	no_leaves	0.0031	NA
104	sp2	VMY	1.4	1.6	NA	0.0012	NA
104	sp3	VCO	2.7	3	NA	0.0064	NA
104	sp4	VVI	1.6	2.1	NA	0.0023	NA
104	sp5	VMA	4.2	5.5	NA	0.014	NA
104	sp6	KLA	0.2	0.8	NA	0.0002	NA
104	sp7	GMI	0.2	0.5	NA	not_detected	NA
104	sp8	GSH	1.6	2.5	NA	0.0046	NA
105	sp1	VAN	1	1	dead	0.0012	NA
105	sp2	VMY	0.7	0.7	NA	0.0007	NA
105	sp3	VCO	2.8	2.8	NA	0.0049	NA
105	sp4	VVI	1.2	1	NA	0.0013	NA
105	sp5	VMA	3.5	4	NA	0.0069	NA
105	sp6	KLA	1	1.1	NA	0.0019	NA
105	sp7	GMI	0.7	1	NA	0.0011	NA
105	sp8	GSH	0.9	1	NA	0.0034	NA
106	sp1	GPR	0.5	1	NA	1.0013	0.0142
106	sp2	CVU	1.3	2	NA	0.0021	NA
106	sp3	VCO	1.5	1.7	dead	0.0012	NA
106	sp4	VVI	1.3	2.3	NA	0.0023	NA
106	sp5	VMA	2.6	3.5	NA	0.0086	NA
106	sp6	KLA	1	1.3	NA	0.0008	NA
106	sp7	GMI	0.3	NA	no_plant	NA	NA
106	sp8	GSH	3.2	3.7	NA	0.0081	NA
107	sp1	GPR	1.8	2.2	NA	0.0032	NA
107	sp2	VMY	1.7	1.7	NA	0.0029	NA
107	sp3	VCO	3.6	3.5	sick	0.0057	NA
107	sp4	VVI	1.8	2	NA	0.0023	NA
107	sp5	VMA	3	4	NA	0.0072	NA
107	sp6	KLA	0.7	1.7	NA	not_detected	NA
107	sp7	GMI	0.8	1.2	NA	0.0005	NA
107	sp8	GSH	3.3	3.1	NA	0.0046	NA
108	sp1	GPR	1.1	2	NA	0.0022	0.0567
108	sp2	VMY	1	1.6	NA	0.0014	NA
108	sp3	VCO	1.4	2.1	NA	0.0019	NA
108	sp4	VVI	1.1	1.1	NA	0.0009	NA
108	sp5	VMA	3.7	4.3	NA	0.0092	NA
108	sp6	PJA	3.5	4.6	NA	0.0331	NA
108	sp7	GMI	0.3	0.5	NA	0.0004	NA
108	sp8	GSH	2	2.5	dead	0.0016	NA
109	sp1	VAN	2.2	2.4	no_leaves	0.0026	0.0299
109	sp2	CVU	0.9	0.9	NA	0.0007	NA
109	sp3	VCO	5.1	5.2	NA	0.008	NA
109	sp4	VVI	1.6	1.9	NA	0.002	NA
109	sp5	VMA	2.7	3.5	NA	0.0052	NA
109	sp6	KLA	0.2	0.5	NA	not_detected	NA
109	sp7	GMI	0.3	0.7	NA	not_detected	NA
109	sp8	GSH	2.5	2.2	sick	0.0052	NA
110	sp1	VAN	1.2	1.2	dead	0.0006	NA
110	sp2	VMY	0.9	1.1	NA	0.001	NA
110	sp3	VCO	1.1	1.3	NA	0.0005	NA
110	sp4	VVI	0.5	0.5	NA	0.001	NA
110	sp5	VMA	2	3.5	NA	0.005	NA
110	sp6	KLA	0.3	0.3	NA	not_detected	NA
110	sp7	GMI	0.8	1.5	NA	0.001	NA
110	sp8	GSH	0.5	0.7	NA	not_detected	NA
111	sp1	GPR	1.1	1.9	NA	0.0028	NA
111	sp2	CVU	0.6	0.7	NA	0.0008	NA
111	sp3	VCO	3.3	3.1	sick	0.0062	NA
111	sp4	VVI	1	1.1	NA	0.0007	NA
111	sp5	VMA	3	3.8	NA	0.0055	NA
111	sp6	PJA	5.6	6	NA	0.159	NA
111	sp7	GMI	0.5	0.5	NA	not_detected	NA
111	sp8	GSH	0.7	1.5	NA	0.0007	NA
112	sp1	GPR	1.4	1.7	NA	0.0017	0.026
112	sp2	CVU	1.8	2.1	NA	0.0044	NA
112	sp3	VCO	0.7	1.1	NA	0.0007	NA
112	sp4	VVI	2	2	NA	0.0011	NA
112	sp5	VMA	2.4	2.6	NA	0.0056	NA
112	sp6	PJA	3	3	NA	0.0252	NA
112	sp7	GMI	0.3	0.6	NA	0.0004	NA
112	sp8	GSH	0.5	1	NA	0.0009	NA
113	sp1	GPR	1.5	2	NA	0.0033	0.0144
113	sp2	CVU	1	1.5	NA	0.0018	NA
113	sp3	VCO	3	3.4	NA	0.0062	NA
113	sp4	VVI	1.1	1.3	NA	0.0015	NA
113	sp5	VMA	2	2.6	NA	0.0029	NA
113	sp6	KLA	0	NA	no_plant	NA	NA
113	sp7	GMI	0.6	0.9	NA	0.0005	NA
113	sp8	GSH	1.1	1.4	NA	0.0008	NA
114	sp1	VAN	1.8	1.8	NA	0.0016	NA
114	sp2	CVU	1.5	2	NA	0.0095	NA
114	sp3	VCO	4.6	5.2	NA	0.0143	NA
114	sp4	VVI	1.6	2.5	NA	0.0032	NA
114	sp5	VMA	2.5	3.4	NA	0.007	NA
114	sp6	KLA	0.8	1.5	NA	0.0034	NA
114	sp7	GMI	0.3	0.8	NA	not_detected	NA
114	sp8	GSH	2.2	2.4	NA	0.0036	NA
115	sp1	GPR	0.6	1	NA	0.0016	NA
115	sp2	VMY	0.8	1.2	NA	0.0018	NA
115	sp3	VCO	2.9	3.4	NA	0.0076	NA
115	sp4	VVI	1.3	1.6	NA	0.0029	NA
115	sp5	VMA	2.2	3.2	NA	0.0049	NA
115	sp6	PJA	2.5	2.8	NA	0.0137	NA
115	sp7	GMI	0.4	0.5	NA	not_detected	NA
115	sp8	GSH	0.9	1.3	NA	0.0026	NA
116	sp1	GPR	1	1.2	NA	0.0016	NA
116	sp2	VMY	1.7	1.4	NA	0.0011	NA
116	sp3	VCO	3.3	3.9	NA	0.0062	NA
116	sp4	VVI	1.6	2.4	NA	0.0037	NA
116	sp5	VMA	1.9	2.7	NA	0.0031	NA
116	sp6	KLA	0.7	0.4	NA	not_detected	NA
116	sp7	GMI	0.3	0.5	NA	not_detected	NA
116	sp8	GSH	2.4	1.4	sick	0.001	NA
117	sp1	GPR	2.1	2.3	NA	0.0032	0.0672
117	sp2	VMY	1.1	1.4	NA	0.0021	NA
117	sp3	VCO	3.7	4	NA	0.0063	NA
117	sp4	VVI	0.6	1	NA	not_detected	NA
117	sp5	VMA	3.1	3.1	NA	0.0067	NA
117	sp6	PJA	4.3	4.4	NA	0.0466	NA
117	sp7	GMI	0.3	0.6	sick	0.0005	NA
117	sp8	GSH	1.8	2.2	NA	0.0025	NA
118	sp1	VAN	2.3	2.4	NA	0.0058	NA
118	sp2	VMY	1.2	1.7	NA	0.0014	NA
118	sp3	VCO	1.9	2.4	NA	0.005	NA
118	sp4	VVI	2.3	2.7	NA	0.0036	NA
118	sp5	VMA	4	4	NA	0.0068	NA
118	sp6	KLA	4	0.6	NA	not_detected	NA
118	sp7	GMI	0.3	0.3	dead	not_detected	NA
118	sp8	GSH	2	2.3	NA	0.0016	NA
119	sp1	GPR	1	0.9	NA	NA	NA
119	sp2	VMY	2	2.7	NA	0.0017	NA
119	sp3	VCO	1.7	1.8	NA	0.003	NA
119	sp4	VVI	0.8	1.1	NA	0.0013	NA
119	sp5	VMA	2.7	2.9	NA	0.0054	NA
119	sp6	PJA	2	2.5	NA	0.0248	NA
119	sp7	GMI	0.8	1.2	NA	0.0011	NA
119	sp8	GSH	1.5	1.5	NA	0.0014	NA
120	sp1	VAN	1.7	1.9	sick	0.0042	NA
120	sp2	CVU	1	1.2	NA	0.001	NA
120	sp3	VCO	2.3	2.6	sick	0.0076	NA
120	sp4	VVI	1.4	2.2	NA	0.0028	NA
120	sp5	VMA	5.2	6.4	NA	0.0141	NA
120	sp6	KLA	0.4	0.4	NA	not_detected	NA
120	sp7	GMI	0.3	0.4	NA	not_detected	NA
120	sp8	GSH	3.2	5.3	NA	0.0154	NA
121	sp1	GPR	1.2	1.8	NA	0.0049	NA
121	sp2	VMY	1.2	1.3	NA	0.0016	NA
121	sp3	VCO	1.5	1.9	NA	0.002	NA
121	sp4	VVI	1.6	2.3	NA	0.0022	NA
121	sp5	VMA	4.5	5.4	NA	0.0109	NA
121	sp6	KLA	1	1.1	dead	0.0005	NA
121	sp7	GMI	0.3	1.2	NA	0.0006	NA
121	sp8	GSH	2.5	4.6	NA	0.0271	NA
122	sp1	VAN	1.2	1.4	NA	0.0006	NA
122	sp2	VMY	1.5	1.8	NA	0.0015	NA
122	sp3	VCO	3	3.1	NA	0.0051	NA
122	sp4	VVI	1.8	2	NA	0.002	NA
122	sp5	VMA	4.5	4.7	NA	0.0116	NA
122	sp6	KLA	0.5	0.5	NA	0.0004	NA
122	sp7	GMI	0.4	0.7	NA	0.0009	NA
